Date time,Number of workers,State
"Tháng 6 27, 2024 12:13:47",5,Normal
"Tháng 6 27, 2024 12:13:48",5,Normal
"Tháng 6 27, 2024 12:13:49",5,Normal
"Tháng 6 27, 2024 12:13:50",4,Missing
"Tháng 6 27, 2024 12:13:51",5,Normal
"Tháng 6 27, 2024 12:13:53",4,Missing
"Tháng 6 27, 2024 12:13:54",4,Missing
"Tháng 6 27, 2024 12:13:55",4,Missing
"Tháng 6 27, 2024 12:13:56",4,Missing
"Tháng 6 27, 2024 12:13:57",3,Missing
"Tháng 6 27, 2024 12:13:58",4,Missing
"Tháng 6 27, 2024 12:13:59",4,Missing
"Tháng 6 27, 2024 12:14:00",3,Missing
